boundary_time,epoch_end,tie_count_at_boundary,tied_combos,selected_combo,workload_file
125,200,3,FCFS|FCFS|SJF|FCFS ; FCFS|FCFS|SJF|HRRN ; FCFS|HRRN|SJF|FCFS,FCFS|FCFS|SJF|FCFS,long_1000_processes.txt
150,225,2,FCFS|FCFS|FCFS|SJF ; HRRN|FCFS|FCFS|SJF,HRRN|FCFS|FCFS|SJF,long_1000_processes.txt
175,250,2,SJF|FCFS|SJF|FCFS ; SJF|FCFS|SJF|HRRN,SJF|FCFS|SJF|HRRN,long_1000_processes.txt
200,275,4,FCFS|FCFS|FCFS|SJF ; FCFS|HRRN|FCFS|SJF ; HRRN|FCFS|FCFS|SJF ; HRRN|HRRN|FCFS|SJF,FCFS|HRRN|FCFS|SJF,long_1000_processes.txt
250,325,3,FCFS|SJF|FCFS|SJF ; FCFS|FCFS|FCFS|SJF ; FCFS|HRRN|FCFS|SJF,FCFS|SJF|FCFS|SJF,long_1000_processes.txt
375,450,3,FCFS|FCFS|SJF|FCFS ; FCFS|FCFS|FCFS|FCFS ; FCFS|FCFS|HRRN|FCFS,FCFS|FCFS|HRRN|FCFS,long_1000_processes.txt
550,625,3,FCFS|FCFS|SJF|FCFS ; FCFS|FCFS|FCFS|FCFS ; FCFS|FCFS|HRRN|FCFS,FCFS|FCFS|FCFS|FCFS,long_1000_processes.txt
575,650,3,SJF|FCFS|FCFS|FCFS ; FCFS|FCFS|FCFS|FCFS ; HRRN|FCFS|FCFS|FCFS,SJF|FCFS|FCFS|FCFS,long_1000_processes.txt
600,675,3,FCFS|FCFS|FCFS|SJF ; FCFS|FCFS|FCFS|FCFS ; FCFS|FCFS|FCFS|HRRN,FCFS|FCFS|FCFS|SJF,long_1000_processes.txt
625,700,2,FCFS|HRRN|SJF|FCFS ; FCFS|HRRN|SJF|HRRN,FCFS|HRRN|SJF|HRRN,long_1000_processes.txt
650,725,2,SJF|FCFS|FCFS|SJF ; SJF|HRRN|FCFS|SJF,SJF|HRRN|FCFS|SJF,long_1000_processes.txt
675,750,2,FCFS|SJF|SJF|FCFS ; FCFS|SJF|SJF|HRRN,FCFS|SJF|SJF|FCFS,long_1000_processes.txt
700,775,2,FCFS|FCFS|FCFS|SJF ; HRRN|FCFS|FCFS|SJF,FCFS|FCFS|FCFS|SJF,long_1000_processes.txt
800,875,3,FCFS|FCFS|SJF|SJF ; FCFS|FCFS|FCFS|SJF ; FCFS|FCFS|HRRN|SJF,FCFS|FCFS|HRRN|SJF,long_1000_processes.txt
825,900,2,FCFS|FCFS|FCFS|FCFS ; HRRN|FCFS|FCFS|FCFS,HRRN|FCFS|FCFS|FCFS,long_1000_processes.txt
850,925,2,FCFS|FCFS|FCFS|FCFS ; HRRN|FCFS|FCFS|FCFS,FCFS|FCFS|FCFS|FCFS,long_1000_processes.txt
1050,1125,3,FCFS|SJF|SJF|FCFS ; FCFS|SJF|FCFS|FCFS ; FCFS|SJF|HRRN|FCFS,FCFS|SJF|HRRN|FCFS,long_1000_processes.txt
1275,1350,3,FCFS|SJF|FCFS|FCFS ; FCFS|FCFS|FCFS|FCFS ; FCFS|HRRN|FCFS|FCFS,FCFS|SJF|FCFS|FCFS,long_1000_processes.txt
1500,1575,2,FCFS|FCFS|FCFS|FCFS ; HRRN|FCFS|FCFS|FCFS,FCFS|FCFS|FCFS|FCFS,long_1000_processes.txt
1525,1600,6,SJF|FCFS|SJF|FCFS ; SJF|FCFS|SJF|HRRN ; SJF|FCFS|FCFS|FCFS ; SJF|FCFS|FCFS|HRRN ; SJF|FCFS|HRRN|FCFS ; SJF|FCFS|HRRN|HRRN,SJF|FCFS|SJF|FCFS,long_1000_processes.txt
1550,1625,2,FCFS|FCFS|FCFS|SJF ; FCFS|HRRN|FCFS|SJF,FCFS|FCFS|FCFS|SJF,long_1000_processes.txt
1575,1650,2,SJF|SJF|FCFS|FCFS ; SJF|SJF|HRRN|FCFS,SJF|SJF|HRRN|FCFS,long_1000_processes.txt
1600,1675,2,FCFS|FCFS|SJF|SJF ; FCFS|HRRN|SJF|SJF,FCFS|FCFS|SJF|SJF,long_1000_processes.txt
1625,1700,2,SJF|SJF|FCFS|FCFS ; SJF|SJF|HRRN|FCFS,SJF|SJF|FCFS|FCFS,long_1000_processes.txt
1650,1725,2,FCFS|FCFS|SJF|FCFS ; FCFS|FCFS|SJF|HRRN,FCFS|FCFS|SJF|HRRN,long_1000_processes.txt
1850,1925,3,FCFS|FCFS|FCFS|SJF ; FCFS|FCFS|FCFS|FCFS ; FCFS|FCFS|FCFS|HRRN,FCFS|FCFS|FCFS|SJF,long_1000_processes.txt
1875,1950,3,SJF|FCFS|SJF|FCFS ; SJF|FCFS|FCFS|FCFS ; SJF|FCFS|HRRN|FCFS,SJF|FCFS|SJF|FCFS,long_1000_processes.txt
1900,1975,3,FCFS|SJF|FCFS|FCFS ; FCFS|FCFS|FCFS|FCFS ; FCFS|HRRN|FCFS|FCFS,FCFS|SJF|FCFS|FCFS,long_1000_processes.txt
